core_name_norm,full_name,wikidata_qid,confidence,auto_match
alecu russo,Alecu Russo,Q2442975,0.95,True
alexandru sterca sulutiu,Alexandru Sterca Șuluțiu,Q651621,1.00,True
alexandru averescu,Alexandru Averescu,Q58285,0.95,True
alexandru ioan cuza,Alexandru Ioan Cuza,Q294832,0.95,True
alexandru lapusneanu,Alexandru Lăpușneanu,Q1060836,0.95,True
alexandru macedonski,Alexandru Macedonski,Q2005820,0.95,True
alexandru odobescu,Alexandru Odobescu,Q609482,0.95,True
alexandru sahia,Alexandru Sahia,Q4721217,0.95,True
alexandru vlahuta,Alexandru Vlahuță,Q16427794,0.95,True
alexandru cel bun,Alexandru cel Bun,Q2719337,0.95,True
ana ipatescu,Ana Ipătescu,Q12720571,0.95,True
andrei muresanu,Andrei Mureșanu,Q502292,0.95,True
andrei saguna,Andrei Șaguna,Q502776,0.95,True
anghel saligny,Anghel Saligny,Q285575,0.95,True
anton pann,Anton Pann,Q592355,0.95,True
approdul purice,Aprodul Purice,Q21681150,0.95,True
aron pumnul,Aron Pumnul,Q717751,0.95,True
augustin bena,Augustin Bena,Q12721202,0.95,True
st. augustin doinas,Augustin Doinaș,Q4681359,1.00,True
aurel lazar,Aurel Lazăr,Q12721240,0.95,True
aurel vlad,Aurel Vlad,Q12721257,0.95,True
aurel vlaicu,Aurel Vlaicu,Q781514,0.95,True
axente sever,Axente Sever,Q779030,0.95,True
baba novac,Baba Novac,Q4968865,0.95,True
badea cartan,Badea Cârțan,Q445032,0.95,True
banu maracine,Banu Mărăcine,,0.00,False
barbu catargiu,Barbu Catargiu,Q554358,0.95,True
barbu lautaru,Barbu Lăutaru,Q18537706,0.95,True
barbu stefanescu delavrancea,Barbu Ștefănescu Delavrancea,Q766314,0.95,True
stirbei voda,Barbu Știrbei,Q285520,0.95,True
bogdan petriceicu hasdeu,Bogdan Petriceicu Hașdeu,Q2389145,1.00,True
bogdan voda,Bogdan Vodă I,Q946073,1.00,True
budai nagy antal,Budai Nagy Antal,Q12723504,0.95,True
c.i. parhon,C.I. Parhon,Q612177,1.00,True
calistrat hogas,Calistrat Hogaș,Q13533673,0.95,True
camil baltazar,Camil Baltazar,Q727696,0.95,True
