core_name_norm,freq,judete_n,uats_n,sample_name,judete_list,table,full_name,gender,birth_year,death_year,era,profession,nationality,wikidata_qid,term,nature_type,category,subcategory,place_name,place_type,country,notes
denumire necompletata,56,17,56,Denumire necompletata,"AB,AR,CS,DB,HD,CL,MM,MH,MS,NT,PH,SJ,SV,TR,TM,VS,VL"
i.c. bratianu,43,25,41,Aleea I.C. Brătianu,"AR,AG,BC,BH,BT,BV,BZ,CS,CJ,CT,DJ,GL,IL,CL,IS,IF,MH,NT,OT,PH,SM,SB,TR,VS,VL"
caragiale ion luca,42,35,42,Caragiale Ion Luca,"AB,AR,AG,BC,BH,BN,BT,BV,BR,BZ,CS,CJ,CT,CV,DB,DJ,GL,GJ,HD,CL,GR,MM,MH,MS,NT,PH,SM,SB,SV,TM,TL,VS,VL,VN,B"
liliecilor,33,19,33,Aleea Liliecilor,"BC,BT,BZ,CJ,CT,DB,DJ,GL,IS,IL,MH,NT,OT,PH,SV,TM,TL,VS,VL"
dragalina,32,19,32,Dragalina,"AB,AR,AG,BT,CJ,CT,DJ,GL,GJ,HD,IL,CL,OT,SJ,SB,TM,TL,VS,VN"
de centura,30,10,29,Bulevardul de Centură,"AB,BR,CT,DJ,GL,IL,GR,IF,TR,B"
ghioceiior,30,18,30,GhioceiIor,"BC,BH,BN,BT,BR,CJ,CT,CV,DB,GL,GR,MS,NT,OT,PH,TM,VL,VN"
tineretii,29,10,29,Fundătura Tinereții,"AB,BT,BR,GL,IS,MH,TM,VS,VN,B"
principala 1,28,10,28,Principala 1,"BH,BT,GJ,MM,MS,PH,SV,TM,VL,VN"
c.a. rosetti,27,19,27,Bulevardul C.A. Rosetti,"AB,AR,BC,BH,BR,BZ,CS,CJ,DJ,GL,CL,IS,MM,OT,PH,TR,TL,VS,VN"
lacrimioarelor,27,14,27,Lăcrimioarelor,"AR,BH,BN,CS,CJ,IF,MM,MH,PH,SM,SJ,TR,TM,VN"
gradini,26,16,25,Fundătura Grădini,"BC,BT,CJ,DB,GL,HR,IS,IF,GR,MH,MS,NT,OT,PH,VS,VN"
pe deal,26,12,26,Pe Deal,"AB,BH,BN,BV,BZ,CJ,DB,GR,MM,SJ,SB,VS"
aleea scolii,25,14,25,Aleea Școlii,"BT,CS,CT,DJ,GL,GJ,HD,MM,MH,NT,OT,SM,TR,VN"
bahnei,25,6,25,Bahnei,"BC,BT,IS,MH,NT,SV"
codrilor,25,12,24,Aleea Codrilor,"AG,BC,BH,BT,CT,IS,DB,NT,PH,SJ,SV,TM"
secundara,25,17,24,Secundară,"AB,BC,BN,BT,BR,BZ,GL,GJ,IS,MS,OT,PH,SM,SV,TM,VS,VL"
alexandriei,24,5,14,Aleea Alexandriei,"AG,GR,TR,B,IF"
biserici,24,16,23,Biserici,"BH,CJ,CT,DB,GJ,HR,IS,MM,MH,NT,OT,PH,SB,TM,VL,VN"
ion ratiu,24,12,22,Aleea Ion Rațiu,"AB,AR,BH,BV,CJ,CT,GR,CL,SB,TM,VS,IF"
valea satului,24,15,24,Str. Valea Satului,"AR,BC,BT,CS,DB,DJ,GL,GJ,HD,IS,MM,MH,TL,VS,VL"
bobocilor,23,15,23,Bobocilor,"AR,BH,BN,BZ,GJ,CL,MH,NT,OT,PH,SM,TR,VS,VN,IF"
boierului,23,13,23,Boierului,"AG,BC,BT,CJ,DJ,GJ,IS,GR,IF,MH,OT,SV,TR"
costisei,23,10,23,Costisei,"BC,BN,BT,BZ,IS,NT,SV,TR,VS,VN"
de sus,23,7,22,De Sus,"AB,BV,CJ,CV,MS,SB,SV"
