core_name_norm,full_name,wikidata_qid,cause_of_death_qid,cause_of_death_label,birth_year_wd,death_year_wd
adrian paunescu,Adrian Păunescu,Q381161,,,1983,
ady endre,Ady Endre,Q165655,,,,
alecu russo,Alecu Russo,Q2442975,Q12204,tuberculosis,1819,1859
alexandru averescu,Alexandru Averescu,Q58285,,,1859,1938
alexandru ioan cuza,Alexandru Ioan Cuza,Q294832,,,1820,1873
cuza voda,Alexandru Ioan Cuza,Q294832,,,1820,1873
a. i. cuza,Alexandru Ioan Cuza,Q294832,,,1820,1873
al. i. cuza,Alexandru Ioan Cuza,Q294832,,,1820,1873
alexandru lapusneanu,Alexandru Lăpușneanu,Q1060836,Q40867,poison,1499,1568
alexandru macedonski,Alexandru Macedonski,Q2005820,,,1854,1920
alexandru odobescu,Alexandru Odobescu,Q609482,,,,
alexandru sahia,Alexandru Sahia,Q4721217,Q12204,tuberculosis,1908,1937
alexandru vlahuta,Alexandru Vlahuță,Q16427794,,,,
alexandru cel bun,Alexandru cel Bun,Q2719337,,,,
ana aslan,Ana Aslan,Q437004,,,,
ana ipatescu,Ana Ipătescu,Q12720571,,,1805,1875
andrei muresanu,Andrei Mureșanu,Q502292,,,1816,1863
andrei saguna,Andrei Șaguna,Q502776,,,1808,1873
anghel saligny,Anghel Saligny,Q285575,,,1854,1925
anton pann,Anton Pann,Q592355,Q160649,typhus,1796,1854
approdul purice,Aprodul Purice,Q21681150,,,,
arany janos,Arany János,Q152690,Q12152,myocardial infarction,1940,2012
aron pumnul,Aron Pumnul,Q717751,,,1818,1866
aurel vlaicu,Aurel Vlaicu,Q781514,Q56132449,killed by own invention,1882,1913
avram iancu,Avram Iancu,Q720450,,,1824,1872
axente sever,Axente Sever,Q779030,,,,
baba novac,Baba Novac,Q4968865,,,,
badea cartan,Badea Cârțan,Q445032,,,1849,1911
barbu lautaru,Barbu Lăutaru,Q18537706,,,1780,1858
barbu stefanescu delavrancea,Barbu Ștefănescu Delavrancea,Q766314,,,1858,1917
stirbei voda,Barbu Știrbei,Q285520,,,,
bartok bela,Bartók Béla,Q83359,Q61037771,car collision,1931,1955
bethlen gabor,Bethlen Gábor,Q125375,,,,
bogdan petriceicu hasdeu,Bogdan Petriceicu Hașdeu,Q2389145,,,1838,1907
bogdan voda,Bogdan Vodă I,Q946073,,,1306,1367
budai nagy antal,Budai Nagy Antal,Q12723504,,,,
burebista,Burebista,Q193389,,,,
c. a. rosetti,C. A. Rosetti,Q647381,,,1938,
c.i. parhon,C.I. Parhon,Q612177,,,1874,1969
calistrat hogas,Calistrat Hogaș,Q13533673,,,1847,1917
camil petrescu,Camil Petrescu,Q857714,,,1894,1957
