core_name_norm,full_name,wikidata_qid,birth_place_qid,birth_place_label,birth_judet
adrian paunescu,Adrian Păunescu,Q381161,Q7024,Lugano,
ady endre,Ady Endre,Q165655,,,
alecu russo,Alecu Russo,Q2442975,Q21197,Chișinău,
alexandru averescu,Alexandru Averescu,Q58285,Q4332333,Babele,
alexandru ioan cuza,Alexandru Ioan Cuza,Q294832,Q335868,Bârlad,VS
cuza voda,Alexandru Ioan Cuza,Q208518,Q10045,IJsselstein,
a. i. cuza,Alexandru Ioan Cuza,Q208518,Q10045,IJsselstein,
alexandru lapusneanu,Alexandru Lăpușneanu,Q1060836,Q1020448,Lăpușna,
alexandru macedonski,Alexandru Macedonski,Q2005820,Q168057,Craiova,DJ
alexandru odobescu,Alexandru Odobescu,Q609482,,,
alexandru sahia,Alexandru Sahia,Q4721217,Q12123431,Mânăstirea,CL
alexandru vlahuta,Alexandru Vlahuță,Q16427794,,,
alexandru cel bun,Alexandru cel Bun,Q2719337,,,
ana aslan,Ana Aslan,Q437004,,,
ana ipatescu,Ana Ipătescu,Q12720571,Q19660,București,B
andrei muresanu,Andrei Mureșanu,Q502292,Q187205,Bistrița,BN
andrei saguna,Andrei Șaguna,Q502776,Q102397,Miskolc,
anghel saligny,Anghel Saligny,Q285575,Q5053922,Liești,GL
anton pann,Anton Pann,Q592355,Q178385,Sliven,
approdul purice,Aprodul Purice,Q21681150,,,
arany janos,Arany János,Q152690,Q659895,Dalkey,
aron pumnul,Aron Pumnul,Q717751,Q900518,Cuciulata,BV
aurel vlaicu,Aurel Vlaicu,Q781514,Q248694,Aurel Vlaicu,HD
avram iancu,Avram Iancu,Q720450,Q1027854,Avram Iancu,AB
axente sever,Axente Sever,Q779030,,,
baba novac,Baba Novac,Q4968865,,,
badea cartan,Badea Cârțan,Q445032,Q5064422,Cârțișoara,SB
barbu lautaru,Barbu Lăutaru,Q18537706,Q2436921,Mereni,
barbu stefanescu delavrancea,Barbu Ștefănescu Delavrancea,Q766314,Q19660,București,B
stirbei voda,Barbu Știrbei,Q285520,,,
bartok bela,Bartók Béla,Q83359,Q286068,Marion,
bethlen gabor,Bethlen Gábor,Q125375,,,
bogdan petriceicu hasdeu,Bogdan Petriceicu Hașdeu,Q2389145,Q4219684,Cristinești,
bogdan voda,Bogdan Vodă I,Q946073,,,
budai nagy antal,Budai Nagy Antal,Q12723504,,,
burebista,Burebista,Q193389,,,
c. a. rosetti,C. A. Rosetti,Q647381,Q14494,Linares,
c.i. parhon,C.I. Parhon,Q612177,Q736296,Câmpulung,AG
calistrat hogas,Calistrat Hogaș,Q13533673,Q546686,Tecuci,GL
camil petrescu,Camil Petrescu,Q857714,Q19660,București,B
camil ressu,Camil Ressu,Q926472,Q170996,Galați,GL
carol davila,Carol Davila,Q1044174,Q2683,Parma,
cezar bolliac,Cezar Bolliac,Q5065837,Q19660,București,B
cezar petrescu,Cezar Petrescu,Q2428037,Q12113776,Cotnari,IS
ciprian porumbescu,Ciprian Porumbescu,Q381100,,,
constantin brancoveanu,Constantin Brâncoveanu,Q216023,,,
constantin brancusi,Constantin Brâncuși,Q153048,Q957957,Hobița,GJ
constantin dobrogeanu gherea,Constantin Dobrogeanu-Gherea,Q647428,,,
dobrogeanu gherea,Constantin Dobrogeanu-Gherea,Q647428,,,
constantin noica,Constantin Noica,Q336614,,,
corneliu coposu,Corneliu Coposu,Q528773,,,
costache negri,Costache Negri,Q5112591,,,
costache negruzzi,Costache Negruzzi,Q868839,Q5114699,Trifești,IS
crisan,Crișan,Q16427771,,,
gen. david praporgescu,David Praporgescu,Q12726447,Q570213,Turnu Măgurele,TR
decebal,Decebal,Q903230,,,
dimitrie bolintineanu,Dimitrie Bolintineanu,Q5277530,Q834101,Bolintin-Vale,GR
dimitrie cantemir,Dimitrie Cantemir,Q159933,Q12159363,Silișteni,AG
dinicu golescu,Dinicu Golescu,Q647434,Q2044,Florența,
dinu lipatti,Dinu Lipatti,Q355898,,,
doamna stanca,Doamna Stanca,Q12726871,,,
dragos voda,Dragoș Vodă,Q2537456,,,
duiliu zamfirescu,Duiliu Zamfirescu,Q647380,,,
ecaterina teodoroiu,Ecaterina Teodoroiu,Q1298714,,,
ecaterina varga,Ecaterina Varga,Q580935,Q520077,Hălmeag,BV
eftimie murgu,Eftimie Murgu,Q647431,Q210720,Arondismentul 20 din Paris,
elena cuza,Elena Cuza,Q4975558,Q46852,Iași,IS
elena vacarescu,Elena Văcărescu,Q292539,Q19660,București,B
emil cioran,Emil Cioran,Q193405,Q938640,Rășinari,SB
emil garleanu,Emil Gârleanu,Q3052223,Q46852,Iași,IS
emil racovita,Emil Racoviță,Q957599,Q46852,Iași,IS
g-ral eremia grigorescu,Eremia Grigorescu,Q1372003,,,
eremia grigorescu,Eremia Grigorescu,Q1372003,,,
eugen lovinescu,Eugen Lovinescu,Q3493179,Q303015,Fălticeni,SV
fratii buzesti,Frații Buzești,Q46951076,,,
geo bogza,Geo Bogza,Q847345,Q12082897,Blejoi,PH
george bacovia,George Bacovia,Q301391,Q10737004,Bacău,BC
george cosbuc,George Coșbuc,Q473257,Q1411798,Coșbuc,BN
george calinescu,George Călinescu,Q2988829,Q19660,București,B
george enescu,George Enescu,Q188215,,,
george toparceanu,George Topârceanu,Q927459,Q19660,București,B
gheorghe asachi,Gheorghe Asachi,Q661452,Q147741,Herța,
gheorghe baritiu,Gheorghe Barițiu,Q445042,Q3890105,Jucu de Sus,CJ
gheorghe doja,Gheorghe Doja,Q5057872,,,
gheorghe lazar,Gheorghe Lazăr,Q952971,Q791387,Avrig,SB
lazar gheorghe,Gheorghe Lazăr,Q952971,Q791387,Avrig,SB
g-ral gheorghe magheru,Gheorghe Magheru,Q647447,Q2256,Birmingham,
gheorghe sincai,Gheorghe Șincai,Q774046,Q1189912,Râciu,MS
grigore alexandrescu,Grigore Alexandrescu,Q937570,Q188673,Târgoviște,DB
grigore antipa,Grigore Antipa,Q3109807,Q178855,Botoșani,BT
grigore ureche,Grigore Ureche,Q592030,Q10957559,Principatul Moldovei,
gabor aron,Gábor Áron,Q240299,Q2924828,Brețcu,CV
henri coanda,Henri Coandă,Q328760,Q19660,București,B
horia,Horia,Q25114194,,,
horea,Horia,Q16425275,,,
"horia,closca si crisan","Horia, Cloșca și Crișan",Q1656593,Q16425275,Horea,AB
iancu jianu,Iancu Jianu,Q12724867,,,
iancu de hunedoara,Iancu de Hunedoara,Q242688,Q1021784,Corbi,AG
Ioan budai-deleanu,Ioan Budai-Deleanu,Q840643,Q742020,Cigmău,HD
ioan slavici,Ioan Slavici,Q961107,Q715296,Șiria,AR
ion agarbiceanu,Ion Agârbiceanu,Q12730779,,,
ion andreescu,Ion Andreescu,Q1398494,,,
ion barbu,Ion Barbu,Q545724,Q736296,Câmpulung,AG
ion c. bratianu,Ion C. Brătianu,Q153047,Q187938,Pitești,AG
i. c. bratianu,Ion C. Brătianu,Q647429,,,
ion creanga,Ion Creangă,Q204810,Q12168018,Humulești,NT
g-ral ion dragalina,Ion Drăgălina,Q2918453,Q33208,Caransebeș,CS
ion ghica,Ion Ghica,Q647476,,,
ion heliade radulescu,Ion Heliade Rădulescu,Q2071370,Q188673,Târgoviște,DB
ion ionescu de la brad,Ion Ionescu de la Brad,Q6063106,Q202458,Roman,NT
ion luca caragiale,Ion Luca Caragiale,Q217022,,,
i. l. caragiale,Ion Luca Caragiale,Q217022,,,
i.l. caragiale,Ion Luca Caragiale,Q217022,,,
ion mihalache,Ion Mihalache,Q2779508,Q739444,Topoloveni,AG
ion minulescu,Ion Minulescu,Q6063157,Q19660,București,B
ion neculce,Ion Neculce,Q5114661,,,
cronicar ion neculce,Ion Neculce,Q647489,,,
ion nistor,Ion Nistor,Q6063226,Q12086403,Bivolăria,SV
ion roata,Ion Roată,Q2540525,,,
ion vidu,Ion Vidu,Q6063392,Q755607,Mânerău,AR
ionel teodoreanu,Ionel Teodoreanu,Q647963,Q46852,Iași,IS
iosif vulcan,Iosif Vulcan,Q568275,Q1084993,Holod,BH
iuliu maniu,Iuliu Maniu,Q462164,Q3846983,Șimleu Silvaniei,SJ
jokai mor,Jókai Mór,Q168717,,,
jozsef attila,József Attila,Q130786,Q2658770,Barabash,
kossuth lajos,Kossuth Lajos,Q48592,,,
liviu rebreanu,Liviu Rebreanu,Q462220,Q999223,Târlișua,BN
lucian blaga,Lucian Blaga,Q381256,Q835580,Lancrăm,AB
marin preda,Marin Preda,Q1360145,Q12725139,Siliștea Gumești,TR
marin sorescu,Marin Sorescu,Q2420296,Q2468459,Bulzești,DJ
matei basarab,Matei Basarab,Q719546,Q525096,Brâncoveni,OT
matei corvin,Matei Corvin,Q188634,Q100188,Cluj-Napoca,CJ
mihai eminescu,Mihai Eminescu,Q184935,Q178855,Botoșani,BT
mihail eminescu,Mihai Eminescu,Q169930,,,
mihai viteazul,Mihai Viteazul,Q118755,Q6271904,Târgu de Floci,IL
mihai viteazu,Mihai Viteazul,Q12724934,,,
mihai bravu,Mihai Viteazul,Q156605,,,
mihail kogalniceanu,Mihail Kogălniceanu,Q319759,Q46852,Iași,IS
mihail sadoveanu,Mihail Sadoveanu,Q217048,,,
mina minovici,Mina Minovici,Q6862713,Q188478,Brăila,BR
mircea eliade,Mircea Eliade,Q41590,Q19660,București,B
mircea cel batran,Mircea cel Bătrân,Q12131591,,,
mircea voda,Mircea cel Bătrân,Q208494,,,
mircea cel mare,Mircea cel Bătrân,Q208494,,,
miron costin,Miron Costin,Q2604582,Q10957559,Principatul Moldovei,
marton aron,Márton Áron,Q289962,Q509836,Sândominic,HR
n.d. paulescu,N.D. Paulescu,Q1386190,Q19660,București,B
neagoe basarab,Neagoe Basarab,Q559382,,,
negru voda,Negru Vodă,Q305001,,,
nichita stanescu,Nichita Stănescu,Q1261307,Q179585,Ploiești,PH
nicolae balcescu,Nicolae Bălcescu,Q940856,,,
nicolae grigorescu,Nicolae Grigorescu,Q330815,,,
nicolae iorga,Nicolae Iorga,Q313581,Q178855,Botoșani,BT
nicolae labis,Nicolae Labiș,Q923614,Q12143095,Poiana Mărului,SV
nicolae titulescu,Nicolae Titulescu,Q781476,Q168057,Craiova,DJ
nicolae tonitza,Nicolae Tonitza,Q1028044,,,
octav bancila,Octav Băncilă,Q3068361,Q178855,Botoșani,BT
octavian goga,Octavian Goga,Q223414,Q938640,Rășinari,SB
otilia cazimir,Otilia Cazimir,Q12737301,Q12113810,Cotu Vameș,NT
panait cerna,Panait Cerna,Q3657061,Q239839,Cerna,TL
panait istrati,Panait Istrati,Q344179,Q188478,Brăila,BR
miron cristea,Patriarh Miron Cristea,Q2268352,Q912235,Toplița,HR
penes curcanul,Peneș Curcanul,Q12737733,Q167199,Vaslui,VS
petrache poenaru,Petrache Poenaru,Q647536,,,
petre ispirescu,Petre Ispirescu,Q1960911,Q19660,București,B
petre tutea,Petre Țuțea,Q956913,Q367260,Boteni,AG
petru maior,Petru Maior,Q897482,Q186349,Târgu Mureș,MS
petru rares,Petru Rareș,Q249558,Q851042,Hârlău,IS
petofi sandor,Petőfi Sándor,Q46261,,,
pintea,Pintea Haiducul,Q359170,Q678988,Măgoaja,CJ
popa sapca,Popa Șapcă,Q12738350,Q754721,Corabia,OT
ovidiu,Publius Ovidius Naso,Q7198,Q31075128,Sulmo,
radu negru,Radu Negru,Q1093958,,,
carol i,Regele Carol I,Q131694,,,
ferdinand,Regele Ferdinand I,Q159014,,,
ferdinand i,Regele Ferdinand I,Q57165,Q82858,Sigmaringen,
elisabeta,Regina Elisabeta,Q57629,Q2242466,Schloss Monrepos,
maria,Regina Maria,Q159020,,,
vulcan,Samuil Vulcan,Q570225,Q624236,Blaj,AB
simion barnutiu,Simion Bărnuțiu,Q701594,Q1078043,Bocșa,SJ
spiru haret,Spiru Haret,Q2576756,Q46852,Iași,IS
theodor aman,Theodor Aman,Q1388476,,,
timotei cipariu,Timotei Cipariu,Q897286,Q753615,Pănade,AB
titel petrescu,Titel Petrescu,Q5163771,Q168057,Craiova,DJ
titu maiorescu,Titu Maiorescu,Q342564,Q168057,Craiova,DJ
traian mosoiu,Traian Moșoiu,Q7832693,Q268804,Tohanu Nou,BV
traian vuia,Traian Vuia,Q1354864,Q3889482,Surducu Mic,TM
tudor arghezi,Tudor Arghezi,Q435755,Q19660,București,B
tudor vianu,Tudor Vianu,Q8273058,Q202351,Giurgiu,GR
tudor vladimirescu,Tudor Vladimirescu,Q359108,Q2718701,Vladimir,GJ
vasile alecsandri,Vasile Alecsandri,Q352004,Q179779,Bacău,BC
vasile conta,Vasile Conta,Q2524023,,,
vasile carlova,Vasile Cârlova,Q7916602,Q201404,Buzău,BZ
vasile goldis,Vasile Goldiș,Q755770,,,
vasile lucaciu,Vasile Lucaciu,Q3554920,Q773117,Apa,SM
vasile lupu,Vasile Lupu,Q524987,Q170263,Chester,
vasile parvan,Vasile Pârvan,Q647397,,,
veronica micle,Veronica Micle,Q561702,,,
victor babes,Victor Babeș,Q278216,Q1741,Viena,
vlad tepes,Vlad Țepeș,Q43715,Q193001,Sighișoara,MS
tepes voda,Vlad Țepeș,Q44611,,,
zaharia stancu,Zaharia Stancu,Q2468239,Q2721345,Salcia,TR
traian,Împăratul Traian,Q1425,Q658893,Italica,
stefan luchian,Ștefan Luchian,Q330905,,,
stefan octavian iosif,Ștefan Octavian Iosif,Q2062401,Q82174,Brașov,BV
stefan cel mare,Ștefan cel Mare,Q1086361,,,
